R, G, B, barva
174,171,187,green
40,73,36,green
125,135,135,green
169,146,160,green
178,171,186,green
40,71,32,green
132,137,136,green
168,145,159,green
99,104,103,blue
53,57,58,blue
63,71,70,blue
45,37,47,blue
139,137,149,red
130,129,155,red
131,137,150,red
141,144,159,red
8,13,14,yellow
35,17,16,yellow
88,64,52,yellow
84,93,97,yellow
128,119,122,red
89,70,121,red
28,22,104,red
151,147,152,red
176,173,182,blue
167,196,205,blue
173,170,179,blue
153,148,150,blue
176,173,182,blue
167,196,205,blue
173,170,179,blue
153,148,150,blue
163,154,151,blue
32,18,19,blue
147,152,153,blue
148,153,152,blue
140,137,163,yellow
81,97,113,yellow
114,102,132,yellow
255,20,147,yellow
223,212,220,red
10,0,28,red
203,204,218,red
219,211,221,red
26,9,114,red
15,4,6,red
125,133,150,red
157,137,142,red
155,166,170,blue
160,159,161,blue
177,169,170,blue
154,152,152,blue
142,138,137,blue
163,160,156,blue
156,148,148,blue
172,171,173,blue
220,205,186,green
174,162,160,green
44,85,47,green
168,165,167,green
